x,y,v,theta
-5.4495432,-3.1355794,2.2396084,-1.3522132654164807
-5.4067389,-3.3282769,2.1576896,-1.2415747857178712
-5.3424652,-3.5164013,2.080443,-1.2364056216222465
-5.2768488,-3.7052591,2.0139758,-1.437246602832133
-5.2508976,-3.8984211,1.9940659,-1.4971576099759791
-5.2362309,-4.097232,2.0208731,-1.3917250015329787
-5.2006443,-4.2938319,2.0410411,-1.2377428629302571
-5.1344317,-4.4852309,2.0573246,-1.0647649618905266
-5.0367342,-4.6615293,2.0725273,-0.8866894468501907
-4.9106444,-4.8161503,2.0910874,-0.7137681191336618
-4.7596773,-4.9469032,2.1137997,-0.5516380150694463
-4.5893419,-5.051721,2.1403695,-0.4063078855003898
-4.4060537,-5.1305805,2.1752836,-0.28046950203386056
-4.2141993,-5.1858466,2.2283851,-0.17203875422021914
-4.0166457,-5.2201728,2.294502,-0.07844656200766298
-3.8177267,-5.2358094,2.3822301,0.0036922349404655713
-3.617632,-5.2350706,2.4782724,0.07656965477115067
-3.4179035,-5.2197475,2.5817421,0.14146971418063642
-3.2200164,-5.1915642,2.7009561,0.19993084869224087
-3.0238104,-5.1518054,2.8237707,0.2529926981782551
-2.8301819,-5.1017462,2.9516113,0.3012290774291679
-2.6389094,-5.042321,3.0883145,0.34449550864325656
-2.4508661,-4.9748505,3.2305447,0.3827614281044239
-2.2651296,-4.9000696,3.3861159,0.4160354221792993
-2.0822215,-4.8192561,3.4143794,0.44411030429115245
-1.9019989,-4.7335041,3.3474375,0.4658793760163449
-1.7234524,-4.6437322,3.1347912,0.47810753489853447
-1.5465998,-4.5520858,2.9096927,0.47622350128102303
-1.3681789,-4.4600527,2.6723401,0.45538825829468105
-1.1908246,-4.3731991,2.4271649,0.40728586829234215
-1.0066788,-4.2937571,2.2109475,0.3238248526466389
-0.8181144,-4.2304674,2.0633462,0.19427744922642914
-0.6218989,-4.1918602,1.971285,0.010637204734791822
-0.4220231,-4.189734,1.9298142,-0.23461642459342186
-0.2290269,-4.2358636,1.9039774,-0.5179830982359068
-0.0559678,-4.3344877,1.8892954,-0.8384502194095241
0.0768616,-4.4822152,1.8625624,-1.138198663964064
0.1600517,-4.6623705,1.8216194,-1.3984536299038781
0.1951892,-4.8642295,1.7904616,-1.6414926748146677
0.1808203,-5.0671389,1.8748778,-1.8204998014939104
0.1316071,-5.2601121,1.9592939,-1.956838752969513
0.0530332,-5.4534362,2.0203445,-2.068797678742122
-0.0400701,-5.6246732,2.0690757,-2.135828960123214
-0.1480871,-5.7950517,2.1483892,-2.1621751637535827
-0.2555704,-5.9551032,2.2584132,-2.1528112874413647
-0.3650098,-6.1214113,2.449201,-2.1286792347126546
-0.4704091,-6.2903193,2.6779253,-2.0989141389684782
-0.5705336,-6.4619442,2.9101996,-2.0655648399745696
-0.6653426,-6.6376697,3.1307308,-2.0288365557635806
-0.754254,-6.8180136,3.3287933,-1.9897396843040778
-0.8353017,-7.0000182,3.4674879,-1.9497251237843036
-0.9090645,-7.1852722,3.5602281,-1.9099323304178775
-0.9759562,-7.3748933,3.6221691,-1.8711073691849411
-1.035066,-7.5657689,3.6440121,-1.8334015914243365
-1.0869522,-7.7587885,3.6567579,-1.7961737300646607
-1.1318711,-7.9547077,3.664605,-1.7590528918565012
-1.1692259,-8.150783,3.6642201,-1.721621105248915
-1.1993465,-8.3489723,3.6629409,-1.683375551964993
-1.2218213,-8.5477636,3.6605102,-1.64397903426688
-1.2364863,-8.7477946,3.6600609,-1.603354452702865
-1.2429883,-8.9474284,3.6610658,-1.5612400696449154
-1.2410709,-9.1480657,3.6674911,-1.5176705095370517
-1.2304231,-9.3483032,3.6786242,-1.4730961201226265
-1.2110676,-9.5457836,3.6937656,-1.4273323492445613
-1.1822107,-9.7455456,3.7174642,-1.380829595903483
-1.144396,-9.9422049,3.7446425,-1.334600032850312
-1.0978916,-10.1354186,3.7754655,-1.2890260660300334
-1.0423272,-10.3273695,3.8095644,-1.244659098687292
-0.9781083,-10.5172457,3.8449829,-1.2023713304379147
-0.9062657,-10.7033412,3.8803474,-1.1624236566552106
-0.8271707,-10.8861362,3.9147832,-1.1241668251720565
-0.7410355,-11.0659949,3.9478277,-1.08669258691379
-0.647914,-11.2430865,3.9798108,-1.0495487137576593
-0.5482146,-11.4167124,4.0121651,-1.0130430664432046
-0.4429043,-11.5855265,4.0499868,-0.977817778271511
-0.3313086,-11.7511287,4.0981392,-0.9449252205666029
-0.2137318,-11.913795,4.1580657,-0.9160716467860345
-0.0916966,-12.0727599,4.2338943,-0.8933112958283558
0.0332551,-12.2280739,4.3310301,-0.8785034257540675
0.1612202,-12.3823978,4.4378012,-0.8723404428981496
0.2900959,-12.5358848,4.5544348,-0.8749607956388596
0.4181093,-12.6891586,4.6553551,-0.8855436826187536
0.5449529,-12.8443406,4.7415446,-0.9027239169566792
0.6688894,-13.0013969,4.8003849,-0.9248084023197674
0.7894751,-13.1613476,4.7582788,-0.9511425602433212
0.9056468,-13.324193,4.6952806,-0.9809803001851801
1.0170605,-13.4906587,4.7039903,-1.012832217498036
1.1232879,-13.660863,4.7063368,-1.0451920672708643
1.2232566,-13.8332147,4.7042691,-1.0770454822150262
1.3184117,-14.010012,4.6980036,-1.1074774236061415
1.4080986,-14.1895333,4.6911766,-1.135098436918975
1.4922238,-14.3702396,4.6845771,-1.1586405688463013
1.5718481,-14.5523643,4.6792525,-1.1773625392761764
1.6488016,-14.7377611,4.6774599,-1.191487738710251
1.7227219,-14.9232057,4.6790664,-1.2029756481941807
1.7943271,-15.1090204,4.6842045,-1.2152343548578513
1.8637332,-15.2959253,4.6925792,-1.2313607124957626
1.9304413,-15.4848455,4.7036049,-1.252643030050817
1.9929434,-15.6746247,4.7169945,-1.2784910923430215
2.0501918,-15.8648661,4.7325033,-1.3075506412729119
2.1022801,-16.0581437,4.7501173,-1.3384364745620367
2.1487623,-16.2545745,4.7697793,-1.3694318255612485
2.188365,-16.4485808,4.7960942,-1.3993981676356377
2.2225817,-16.6462549,4.8266535,-1.4278300134632305
2.2511406,-16.8446517,4.8633107,-1.4537921074333358
2.2744074,-17.0425978,4.8728882,-1.4768155865208654
2.2933417,-17.2434743,4.9590778,0.0
